{'k': 10, 'reg_penalty': 10}
Step  2000 , error  31308.0145238 , delta error  62.4327808398 , grad norm  249.678085955
Step  2100 , error  25655.3766731 , delta error  51.1105378091 , grad norm  225.906807209
Step  2200 , error  21027.8425393 , delta error  41.8417287267 , grad norm  204.399065959
Step  2300 , error  17239.498477 , delta error  34.2538999109 , grad norm  184.939259216
Step  2400 , error  14138.1514107 , delta error  28.0421646729 , grad norm  167.33233567
Step  2500 , error  11599.2117636 , delta error  22.9569425069 , grad norm  151.401832714
Step  2600 , error  9520.68633609 , delta error  18.7939242698 , grad norm  136.988102035
Step  2700 , error  7819.07964104 , delta error  15.3858588381 , grad norm  123.946705337
Step  2800 , error  6426.03881026 , delta error  12.595830367 , grad norm  112.146963692
Step  2900 , error  5285.60713352 , delta error  10.3117554671 , grad norm  101.470645647
Step  3000 , error  4351.9757935 , delta error  8.44187882023 , grad norm  91.8107807071
Step  3100 , error  3587.64340703 , delta error  6.91108600603 , grad norm  83.0705861428
Step  3200 , error  2961.90938912 , delta error  5.65788522607 , grad norm  75.1624962273
Step  3300 , error  2449.64058191 , delta error  4.63193654713 , grad norm  68.0072840984
Step  3400 , error  2030.26157929 , delta error  3.7920293206 , grad norm  61.5332673707
Step  3500 , error  1686.92817136 , delta error  3.10442646705 , grad norm  55.6755894886
Step  3600 , error  1405.85069421 , delta error  2.54150907168 , grad norm  50.375569584
Step  3700 , error  1175.74009577 , delta error  2.08066681363 , grad norm  45.5801142955
Step  3800 , error  987.354460672 , delta error  1.70338963641 , grad norm  41.2411856337
Step  3900 , error  833.127774239 , delta error  1.39452415708 , grad norm  37.315319547
Step  4000 , error  706.866010426 , delta error  1.14166493401 , grad norm  33.763190352
Step  4100 , error  603.49833392 , delta error  0.934656133192 , grad norm  30.5492166539
Step  4200 , error  518.873421005 , delta error  0.765183570266 , grad norm  27.6412048041
Step  4300 , error  449.592716746 , delta error  0.626440737035 , grad norm  25.0100263156
Step  4400 , error  392.873929971 , delta error  0.512855394558 , grad norm  22.6293260013
Step  4500 , error  346.43928243 , delta error  0.419865748427 , grad norm  20.4752579077
Step  4600 , error  308.424022991 , delta error  0.34373721416 , grad norm  18.5262463955
Step  4700 , error  277.301531871 , delta error  0.281412411499 , grad norm  16.7627699731
Step  4800 , error  251.822006368 , delta error  0.230388361446 , grad norm  15.1671657132
Step  4900 , error  230.962265181 , delta error  0.188615952815 , grad norm  13.7234522948
Step  5000 , error  213.884655029 , delta error  0.154417639715 , grad norm  12.4171698949
Step  5001 , error  213.884655029 , delta error  0.154417639715 , grad norm  12.4171698949
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 20.92%
[0.0]
Step  100 , error  1398613.3754 , delta error  2808.77487538 , grad norm  1674.67340412
Step  200 , error  1144471.04293 , delta error  2296.57269534 , grad norm  1514.30217768
Step  300 , error  936631.523498 , delta error  1878.49270717 , grad norm  1369.54936148
Step  400 , error  766606.69702 , delta error  1536.89274864 , grad norm  1238.78240752
Step  500 , error  627488.923228 , delta error  1257.61361407 , grad norm  1120.59086532
Step  600 , error  513644.640676 , delta error  1029.19836824 , grad norm  1013.73200631
Step  700 , error  420473.625623 , delta error  842.336066055 , grad norm  917.099426507
Step  800 , error  344216.557173 , delta error  689.440804629 , grad norm  829.702305908
Step  900 , error  281799.772714 , delta error  564.322716378 , grad norm  750.65024977
Step  1000 , error  230709.369556 , delta error  461.926172158 , grad norm  679.141390333
Step  1100 , error  188888.785988 , delta error  378.119306214 , grad norm  614.452588386
Step  1200 , error  154655.320447 , delta error  309.523756414 , grad norm  555.931106329
Step  1300 , error  126632.001082 , delta error  253.376409339 , grad norm  502.987385762
Step  1400 , error  103691.936151 , delta error  207.416859389 , grad norm  455.088699215
Step  1500 , error  84912.8324978 , delta error  169.795651495 , grad norm  411.753521096
Step  1600 , error  69539.8090038 , delta error  138.999387353 , grad norm  372.546507091
Step  1700 , error  56954.9831998 , delta error  113.789549454 , grad norm  337.073998353
Step  1800 , error  46652.5919869 , delta error  93.1525033327 , grad norm  304.979984545
Step  1900 , error  38218.6361651 , delta error  76.2586195496 , grad norm  275.942471868
Step  2000 , error  31314.2241633 , delta error  62.4288423122 , grad norm  249.670210896
Step  2100 , error  25661.9414299 , delta error  51.1073423014 , grad norm  225.899745628
Step  2200 , error  21034.6950493 , delta error  41.8391427776 , grad norm  204.392750218
Step  2300 , error  17246.5835758 , delta error  34.2518122364 , grad norm  184.933624017
Step  2400 , error  14145.4240748 , delta error  28.0404830427 , grad norm  167.327318959
Step  2500 , error  11606.6353532 , delta error  22.9555908582 , grad norm  151.397376212
Step  2600 , error  9528.2311112 , delta error  18.7928401298 , grad norm  136.98415149
Step  2700 , error  7826.72151904 , delta error  15.3849910734 , grad norm  123.9432106
Step  2800 , error  6433.75833195 , delta error  12.5951372505 , grad norm  112.143878664
Step  2900 , error  5293.38860775 , delta error  10.3112030366 , grad norm  101.467928141
Step  3000 , error  4359.80659239 , delta error  8.44143949866 , grad norm  91.8083922665
Step  3100 , error  3595.51338743 , delta error  6.91073744876 , grad norm  83.0684918158
Step  3200 , error  2969.81041919 , delta error  5.65760936412 , grad norm  75.1606643358
Step  3300 , error  2457.56615474 , delta error  4.63171879643 , grad norm  68.0056859979
Step  3400 , error  2038.20649836 , delta error  3.7918579311 , grad norm  61.5318772123
Step  3500 , error  1694.88829499 , delta error  3.10429198862 , grad norm  55.6743839891
Step  3600 , error  1413.82272837 , delta error  2.54140391719 , grad norm  50.3745278064
Step  3700 , error  1183.72142639 , delta error  2.08058490236 , grad norm  45.5792174409
Step  3800 , error  995.343018184 , delta error  1.7033261036 , grad norm  41.2404168473
Step  3900 , error  841.121924279 , delta error  1.39447511792 , grad norm  37.3146637378
Step  4000 , error  714.864465871 , delta error  1.14162729213 , grad norm  33.7626340256
Step  4100 , error  611.500084135 , delta error  0.934627425609 , grad norm  30.548747759
Step  4200 , error  526.877675069 , delta error  0.765161841933 , grad norm  27.6408125918
Step  4300 , error  457.598857947 , delta error  0.626424439614 , grad norm  25.0097012105
Step  4400 , error  400.881479405 , delta error  0.512843304791 , grad norm  22.6290594841
Step  4500 , error  354.447869931 , delta error  0.419856902434 , grad norm  20.4750424086
Step  4600 , error  316.433363957 , delta error  0.343730854631 , grad norm  18.526075197
Step  4700 , error  285.311408822 , delta error  0.281407945312 , grad norm  16.7626371223
Step  4800 , error  259.832254309 , delta error  0.230385325708 , grad norm  15.167065942
Step  4900 , error  238.97276 , delta error  0.18861398769 , grad norm  13.7233809483
Step  5000 , error  221.895304328 , delta error  0.154416466725 , grad norm  12.417122866
Step  5001 , error  221.895304328 , delta error  0.154416466725 , grad norm  12.417122866
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 21.43%
[0.0, 0.0]
Step  100 , error  1398617.81317 , delta error  2808.83390931 , grad norm  1674.69072727
Step  200 , error  1144473.81105 , delta error  2296.56577875 , grad norm  1514.29983676
Step  300 , error  936635.571454 , delta error  1878.47809469 , grad norm  1369.5440311
Step  400 , error  766612.018702 , delta error  1536.88247289 , grad norm  1238.77827687
Step  500 , error  627494.997337 , delta error  1257.60863515 , grad norm  1120.58865951
Step  600 , error  513651.001863 , delta error  1029.1972967 , grad norm  1013.73148926
Step  700 , error  420479.961565 , delta error  842.33739387 , grad norm  917.10015761
Step  800 , error  344222.68895 , delta error  689.443391798 , grad norm  829.703868716
Step  900 , error  281805.61539 , delta error  564.325808185 , grad norm  750.652310351
Step  1000 , error  230714.897859 , delta error  461.929310591 , grad norm  679.14370032
Step  1100 , error  188894.009438 , delta error  378.122237463 , grad norm  614.454971891
Step  1200 , error  154660.266781 , delta error  309.526358445 , grad norm  555.933444142
Step  1300 , error  126636.705817 , delta error  253.378640782 , grad norm  502.989601162
Step  1400 , error  103696.436368 , delta error  207.418725392 , grad norm  455.090746452
Step  1500 , error  84917.1633772 , delta error  169.797181796 , grad norm  411.755376485
Step  1600 , error  69544.00211 , delta error  139.000622677 , grad norm  372.548162285
Step  1700 , error  56959.0658285 , delta error  113.790533426 , grad norm  337.075455372
Step  1800 , error  46656.5871271 , delta error  93.1532779392 , grad norm  304.981252144
Step  1900 , error  38222.5627938 , delta error  76.2592228335 , grad norm  275.943562909
Step  2000 , error  31318.0976963 , delta error  62.4293074232 , grad norm  249.671140495
Step  2100 , error  25665.774224 , delta error  51.1076973432 , grad norm  225.900529847
Step  2200 , error  21038.4968949 , delta error  41.8394110903 , grad norm  204.393405179
Step  2300 , error  17250.3621494 , delta error  34.2520128917 , grad norm  184.934165318
Step  2400 , error  14149.1853374 , delta error  28.0406314176 , grad norm  167.327761303
Step  2500 , error  11610.38389 , delta error  22.9556992104 , grad norm  151.397733191
Step  2600 , error  9531.97041655 , delta error  18.7929181322 , grad norm  136.984435485
Step  2700 , error  7830.45423026 , delta error  15.3850462885 , grad norm  123.943432751
Step  2800 , error  6437.48641916 , delta error  12.5951755392 , grad norm  112.144048892
Step  2900 , error  5297.11352613 , delta error  10.311228902 , grad norm  101.468055208
Step  3000 , error  4363.52940314 , delta error  8.44145637077 , grad norm  91.808483845
Step  3100 , error  3599.234853 , delta error  6.91074791633 , grad norm  83.0685545806
Step  3200 , error  2973.53107754 , delta error  5.65761536195 , grad norm  75.1607040525
Step  3300 , error  2461.28637695 , delta error  4.63172175489 , grad norm  68.0057076139
Step  3400 , error  2041.92653282 , delta error  3.79185889455 , grad norm  61.5318849451
Step  3500 , error  1698.60830115 , delta error  3.10429170844 , grad norm  55.6743814092
Step  3600 , error  1417.54280221 , delta error  2.54140292436 , grad norm  50.3745179143
Step  3700 , error  1187.44161948 , delta error  2.08058356362 , grad norm  45.5792027381
Step  3800 , error  999.063351842 , delta error  1.70332466463 , grad norm  41.2403994004
Step  3900 , error  844.842399954 , delta error  1.39447373633 , grad norm  37.3146452366
Step  4000 , error  718.585072613 , delta error  1.1416260624 , grad norm  33.7626158345
Step  4100 , error  615.220803924 , delta error  0.93462639781 , grad norm  30.5487309633
Step  4200 , error  530.598486515 , delta error  0.765161035694 , grad norm  27.640798038
Step  4300 , error  461.31973879 , delta error  0.626423854358 , grad norm  25.0096895423
Step  4400 , error  404.602408139 , delta error  0.512842927193 , grad norm  22.6290511738
Step  4500 , error  358.168826793 , delta error  0.419856711749 , grad norm  20.4750377841
Step  4600 , error  320.15433147 , delta error  0.34373082643 , grad norm  18.5260744662
Step  4700 , error  289.032372027 , delta error  0.281408054037 , grad norm  16.7626403931
Step  4800 , error  263.553200787 , delta error  0.230385546361 , grad norm  15.1670732408
Step  4900 , error  242.693679755 , delta error  0.188614296884 , grad norm  13.7233922347
Step  5000 , error  225.616189595 , delta error  0.154416843291 , grad norm  12.4171380465
Step  5001 , error  225.616189595 , delta error  0.154416843291 , grad norm  12.4171380465
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 21.94%
[0.0, 0.0, 0.0]
Step  100 , error  1398666.34371 , delta error  2809.36344789 , grad norm  1674.84826694
Step  200 , error  1144481.05107 , delta error  2296.8750945 , grad norm  1514.40150781
Step  300 , error  936619.975376 , delta error  1878.63848532 , grad norm  1369.60226862
Step  400 , error  766585.354111 , delta error  1536.95228314 , grad norm  1238.80624665
Step  500 , error  627464.241435 , delta error  1257.62614999 , grad norm  1120.59634582
Step  600 , error  513620.092818 , delta error  1029.18615009 , grad norm  1013.72591637
Step  700 , error  420450.987044 , delta error  842.311787738 , grad norm  917.086158253
Step  800 , error  344196.635375 , delta error  689.411680837 , grad norm  829.684744029
Step  900 , error  281782.828922 , delta error  564.292773407 , grad norm  750.630307314
Step  1000 , error  230695.365012 , delta error  461.897567218 , grad norm  679.120341463
Step  1100 , error  188877.52642 , delta error  378.093100935 , grad norm  614.431280362
Step  1200 , error  154646.540462 , delta error  309.500376203 , grad norm  555.910097525
Step  1300 , error  126625.41274 , delta error  253.355918285 , grad norm  502.967037212
Step  1400 , error  103687.256071 , delta error  207.399125164 , grad norm  455.069236285
Step  1500 , error  84909.7960966 , delta error  169.780443878 , grad norm  411.735075591
Step  1600 , error  69538.1770912 , delta error  138.986436375 , grad norm  372.529146299
Step  1700 , error  56954.5441031 , delta error  113.7785789 , grad norm  337.057745268
